year,state,month,number
2016,Rondonia,Junho,174.0
2020,Rio Grande do Norte,Setembro,106.0
2013,Paraiba,Agosto,3.0
2015,Distrito Federal,Junho,1.0
2017,Rondonia,Novembro,423.0
2023,Alagoas,Dezembro,38.0
2012,Pernambuco,Junho,16.0
2015,Pernambuco,Novembro,263.0
2023,Rio de Janeiro,Março,10.0
2013,Distrito Federal,Junho,5.0
2017,Mato Grosso,Março,698.0
2015,Rio de Janeiro,Março,15.0
2012,Paraiba,Julho,4.0
2019,Distrito Federal,Outubro,27.0
2016,Alagoas,Fevereiro,14.0
2019,São Paulo,Fevereiro,35.0
2022,Goias,Dezembro,28.0
2014,Rio Grande do Norte,Junho,1.0
2016,Minas Gerais,Abril,166.0
2023,Roraima,Outubro,409.0
2020,Roraima,Janeiro,297.0
2014,Rondonia,Agosto,2.846
2012,Mato Grosso,Agosto,6.429
2015,Goias,Junho,263.0
2023,Minas Gerais,Abril,133.0
2016,Rondonia,Abril,56.0
2015,Maranhão,Maio,184.0
2022,Amapa,Fevereiro,1.0
2023,Paraná,Julho,121.0
2023,Acre,Dezembro,4.0
2017,Ceará,Fevereiro,10.0
2021,Ceará,Agosto,258.0
2012,Roraima,Abril,49.0
2021,Sergipe,Setembro,0.0
2023,Mato Grosso do Sul,Maio,205.0
2013,Amazonas,Janeiro,43.0
2021,Rondonia,Agosto,4.319
2022,Espirito Santo,Fevereiro,5.0
2022,Piaui,Março,17.0
2016,Sergipe,Março,25.0
2019,Amapa,Março,0.0
2020,Ceará,Junho,12.0
2018,Pernambuco,Novembro,186.0
2023,Paraná,Abril,56.0
2016,Mato Grosso,Junho,1.306
2015,Rio Grande do Sul,Maio,166.0
2023,Paraiba,Setembro,107.0
2013,Minas Gerais,Março,136.0
2020,Amazonas,Fevereiro,73.0
2012,Paraná,Junho,132.0
2013,Rondonia,Junho,32.0
2022,Alagoas,Maio,3.0
2012,Bahia,Março,472.0
2022,Acre,Dezembro,9.0
2016,Amazonas,Julho,1.087
2015,Amapa,Setembro,198.0
2016,Mato Grosso do Sul,Dezembro,112.0
2019,Piaui,Abril,25.0
2023,Minas Gerais,Agosto,1029.0
2013,Tocantins,Janeiro,59.0
2018,Maranhão,Agosto,2.833
2023,Tocantins,Abril,179.0
2013,Acre,Maio,11.0
2020,Pernambuco,Agosto,18.0
2019,Mato Grosso do Sul,Janeiro,542.0
2017,Piaui,Dezembro,465.0
2020,Amazonas,Novembro,374.0
2018,Piaui,Fevereiro,8.0
2014,Espirito Santo,Julho,11.0
2018,Goias,Agosto,518.0
2023,Alagoas,Novembro,38.0
2013,Rondonia,Agosto,1.102
2013,Minas Gerais,Dezembro,80.0
2013,São Paulo,Junho,70.0
2018,Alagoas,Dezembro,35.0
2015,Goias,Julho,320.0
2012,Rio Grande do Sul,Março,100.0
2019,Amapa,Outubro,540.0
2022,Espirito Santo,Abril,21.0
2013,Roraima,Outubro,116.0
2014,Tocantins,Julho,1.364
2020,Mato Grosso do Sul,Outubro,1.949
2015,Paraiba,Maio,6.0
2021,Rondonia,Junho,131.0
2014,Pernambuco,Maio,2.0
2017,Rio Grande do Norte,Dezembro,66.0
2017,Paraná,Abril,103.0
2023,São Paulo,Maio,145.0
2021,Rio Grande do Norte,Março,16.0
2013,Bahia,Abril,125.0
2020,Sergipe,Agosto,1.0
2016,Distrito Federal,Julho,78.0
2023,Santa Catarina,Fevereiro,35.0
2013,Piaui,Abril,34.0
2013,Tocantins,Maio,411.0
2019,Espirito Santo,Março,22.0
2014,Mato Grosso do Sul,Novembro,175.0
2020,Paraiba,Janeiro,63.0
2023,Bahia,Maio,465.0
2016,Pernambuco,Agosto,33.0
2013,Espirito Santo,Dezembro,8.0
2018,Bahia,Maio,101.0
2012,Santa Catarina,Março,111.0
2012,Minas Gerais,Fevereiro,140.0
2021,Espirito Santo,Dezembro,2.0
2019,Rio Grande do Norte,Dezembro,99.0
2018,Pernambuco,Março,8.0
2014,Piaui,Setembro,2.494
2014,Sergipe,Novembro,8.0
2020,Amazonas,Outubro,1.265
2014,Amazonas,Abril,20.0
2015,Rio de Janeiro,Julho,67.0
2023,Paraiba,Julho,17.0
2019,Piaui,Março,46.0
2014,Amapa,Setembro,161.0
2012,Distrito Federal,Novembro,0.0
2020,Piaui,Julho,511.0
2014,Maranhão,Novembro,3710.0
2021,Maranhão,Dezembro,1.244
2015,Amazonas,Outubro,2.233
2023,Maranhão,Maio,478.0
2016,Tocantins,Novembro,586.0
2020,Rio de Janeiro,Junho,40.0
2019,Bahia,Julho,337.0
2020,Rondonia,Março,38.0
2013,Ceará,Julho,8.0
2012,Rio Grande do Norte,Abril,4.0
2018,Mato Grosso do Sul,Junho,131.0
2014,Mato Grosso do Sul,Dezembro,72.0
2015,Mato Grosso do Sul,Junho,289.0
2016,Ceará,Novembro,1.373
2015,Rondonia,Junho,120.0
2020,Amapa,Setembro,84.0
2021,Sergipe,Maio,1.0
2017,Pará,Março,18.0
2017,Pará,Novembro,9.639
2020,Roraima,Março,695.0
2017,Mato Grosso do Sul,Agosto,1.159
2017,Sergipe,Março,17.0
2012,Piaui,Outubro,2.639
2023,Acre,Julho,212.0
2020,Maranhão,Setembro,4.403
2021,Bahia,Dezembro,61.0
2015,Bahia,Agosto,791.0
2023,Espirito Santo,Agosto,30.0
2021,Roraima,Novembro,174.0
2015,Maranhão,Outubro,6.387
2017,Rio Grande do Norte,Janeiro,27.0
2023,Rio de Janeiro,Junho,34.0
2016,Distrito Federal,Novembro,1.0
2014,Paraiba,Julho,9.0
2019,Alagoas,Janeiro,32.0
2021,Minas Gerais,Abril,150.0
2014,Acre,Março,1.0
2014,Bahia,Novembro,308.0
2019,Acre,Janeiro,1.0
2014,Pará,Julho,813.0
2016,Acre,Setembro,3.863
2023,Espirito Santo,Novembro,183.0
2022,Roraima,Agosto,40.0
2021,Pernambuco,Setembro,156.0
2014,Minas Gerais,Março,62.0
2017,Rondonia,Abril,20.0
2017,Goias,Outubro,1.858
2019,Paraiba,Julho,4.0
2020,Bahia,Novembro,447.0
2014,Piaui,Maio,131.0
2022,Mato Grosso,Novembro,1.746
2012,Rio Grande do Norte,Novembro,90.0
2016,São Paulo,Junho,196.0
2021,Piaui,Dezembro,232.0
2015,Minas Gerais,Março,62.0
2019,Mato Grosso,Janeiro,576.0
2019,Espirito Santo,Outubro,73.0
2015,Sergipe,Outubro,4.0
2014,Goias,Novembro,160.0
2023,Paraná,Março,75.0
2020,Acre,Outubro,1.652
2014,Mato Grosso do Sul,Março,72.0
2014,Acre,Outubro,406.0
2012,Piaui,Novembro,530.0
2019,Sergipe,Março,12.0
2013,Amapa,Dezembro,197.0
2017,Roraima,Novembro,421.0
2015,Ceará,Dezembro,965.0
2012,Ceará,Março,13.0
2015,Piaui,Janeiro,77.0
2022,Minas Gerais,Dezembro,34.0
2023,Pará,Abril,58.0
2015,Pará,Junho,241.0
2023,Mato Grosso,Maio,1666.0
2022,Rondonia,Março,17.0
2014,Sergipe,Fevereiro,16.0
2020,Santa Catarina,Janeiro,35.0
2015,Roraima,Agosto,14.0
2020,Amazonas,Abril,12.0
2016,Piaui,Fevereiro,83.0
2023,Minas Gerais,Fevereiro,162.0
2021,Sergipe,Março,56.0
2013,Goias,Novembro,162.0
2023,Pernambuco,Agosto,53.0
2013,Acre,Fevereiro,0.0
2013,Mato Grosso do Sul,Agosto,715.0
2022,Piaui,Abril,35.0
2020,Rio Grande do Norte,Agosto,30.0
2019,Pará,Junho,315.0
2018,Amazonas,Julho,1.346
2018,Ceará,Dezembro,723.0
2021,Alagoas,Novembro,20.0
2016,Pernambuco,Outubro,274.0
2021,Roraima,Julho,5.0
2014,Ceará,Março,4.0
2019,Maranhão,Setembro,3.667
2013,Roraima,Agosto,4.0
2022,Bahia,Outubro,3.675
2013,Mato Grosso,Julho,1.711
2012,Espirito Santo,Novembro,7.0
2016,Rondonia,Março,30.0
2023,Tocantins,Setembro,2681.0
2015,Amapa,Novembro,1.424
2021,Acre,Abril,7.0
2020,Rio Grande do Norte,Maio,0.0
2022,Rio Grande do Sul,Janeiro,174.0
2014,Espirito Santo,Junho,8.0
2018,Roraima,Março,727.0
2020,Santa Catarina,Junho,102.0
2021,Rio de Janeiro,Janeiro,18.0
2015,Mato Grosso,Janeiro,720.0
2021,Rio Grande do Norte,Dezembro,90.0
2017,São Paulo,Janeiro,21.0
2012,Espirito Santo,Dezembro,23.0
2017,Mato Grosso,Julho,2100.0
2015,Acre,Janeiro,3.0
2015,Roraima,Fevereiro,571.0
2016,Paraná,Janeiro,124.0
2015,Ceará,Março,14.0
2018,Minas Gerais,Fevereiro,60.0
2014,Roraima,Maio,63.0
2023,Rio de Janeiro,Dezembro,7.0
2020,Acre,Julho,335.0
2020,São Paulo,Junho,262.0
2022,Amazonas,Dezembro,182.0
2014,Distrito Federal,Março,1.0
2021,Amapa,Agosto,19.0
2018,Minas Gerais,Maio,153.0
2020,Ceará,Outubro,913.0
2012,Amapa,Julho,6.0
2013,Paraiba,Julho,1.0
2012,Minas Gerais,Setembro,2.919
2020,Ceará,Março,2.0
2022,Espirito Santo,Dezembro,6.0
2016,Espirito Santo,Junho,45.0
2014,Sergipe,Janeiro,18.0
2012,Rio Grande do Sul,Fevereiro,43.0
2013,Alagoas,Novembro,8.0
2019,Amazonas,Março,114.0
2021,Minas Gerais,Fevereiro,40.0
2014,Amazonas,Julho,253.0
2018,São Paulo,Novembro,16.0
2012,Distrito Federal,Abril,4.0
2018,Bahia,Julho,281.0
2016,Distrito Federal,Maio,13.0
2017,Tocantins,Outubro,2.255
2017,São Paulo,Março,76.0
2020,Roraima,Agosto,14.0
2015,Distrito Federal,Dezembro,0.0
2015,Alagoas,Abril,46.0
2022,Ceará,Março,8.0
2022,Rio de Janeiro,Dezembro,2.0
2015,Sergipe,Abril,24.0
2015,Distrito Federal,Março,0.0
2023,Bahia,Fevereiro,222.0
2017,Sergipe,Novembro,1.0
2016,Acre,Maio,23.0
2020,Sergipe,Setembro,0.0
2019,Acre,Maio,33.0
2019,Pará,Novembro,7390.0
2020,Santa Catarina,Maio,286.0
2012,Roraima,Maio,21.0
2013,Espirito Santo,Novembro,11.0
2020,Minas Gerais,Julho,536.0
2018,Tocantins,Abril,127.0
2023,Amazonas,Dezembro,145.0
2018,Pará,Novembro,6.276
2012,Paraiba,Novembro,139.0
2016,Goias,Julho,815.0
2012,Espirito Santo,Março,38.0
2016,Acre,Fevereiro,2.0
2014,Pará,Agosto,8.147
2012,Bahia,Maio,335.0
2019,Minas Gerais,Dezembro,118.0
2022,Tocantins,Abril,134.0
2012,Maranhão,Julho,3.693
2013,Alagoas,Julho,1.0
2014,Paraiba,Novembro,91.0
2023,Espirito Santo,Outubro,59.0
2022,Roraima,Abril,7.0
2013,Tocantins,Agosto,1.805
2023,Distrito Federal,Junho,11.0
2015,Alagoas,Novembro,118.0
2022,Paraná,Abril,61.0
2019,Rondonia,Outubro,556.0
2020,Piaui,Dezembro,448.0
2012,Roraima,Janeiro,239.0
2016,Amapa,Novembro,1.104
2020,Amazonas,Maio,15.0
2017,Mato Grosso,Dezembro,249.0
2017,Acre,Março,0.0
2021,Amazonas,Janeiro,37.0
2014,Paraiba,Dezembro,58.0
2022,Pernambuco,Agosto,35.0
2017,Tocantins,Abril,161.0
2018,Acre,Fevereiro,2.0
2020,Pernambuco,Março,14.0
2016,Mato Grosso do Sul,Fevereiro,119.0
2021,Amapa,Março,1.0
2013,Roraima,Janeiro,482.0
2023,Distrito Federal,Abril,2.0
2013,Paraiba,Abril,7.0
2017,Santa Catarina,Setembro,491.0
2017,Amapa,Dezembro,406.0
2013,Rio de Janeiro,Dezembro,6.0
2014,Piaui,Agosto,2.169
2014,Rio de Janeiro,Dezembro,16.0
2020,Tocantins,Dezembro,211.0
2021,Mato Grosso do Sul,Setembro,2.739
2019,Amapa,Junho,0.0
2013,Acre,Julho,98.0
2018,Espirito Santo,Outubro,36.0
2020,Rio Grande do Sul,Junho,158.0
2012,Maranhão,Abril,114.0
2014,Santa Catarina,Abril,35.0
2023,Rio Grande do Sul,Setembro,34.0
2014,Sergipe,Abril,7.0
2020,Alagoas,Junho,0.0
2012,Mato Grosso,Junho,1.933
2014,Pernambuco,Março,32.0
2018,Rio de Janeiro,Junho,32.0
2023,Santa Catarina,Janeiro,35.0
2018,Ceará,Abril,1.0
2012,Sergipe,Novembro,6.0
2012,Roraima,Março,183.0
2012,Piaui,Dezembro,401.0
2022,Pará,Novembro,4.507
2013,Amazonas,Julho,359.0
2012,Rio de Janeiro,Maio,12.0
2023,Distrito Federal,Julho,21.0
2023,Paraiba,Agosto,31.0
2017,Amapa,Julho,3.0
2021,Paraiba,Maio,3.0
2017,São Paulo,Outubro,134.0
2014,Goias,Fevereiro,34.0
2013,Ceará,Setembro,177.0
2016,Rio Grande do Sul,Janeiro,60.0
2019,Rio Grande do Sul,Março,94.0
2012,Goias,Julho,556.0
2020,Mato Grosso do Sul,Fevereiro,250.0
2015,Santa Catarina,Fevereiro,15.0
2020,Goias,Maio,150.0
2014,Espirito Santo,Maio,15.0
2017,Pernambuco,Junho,4.0
2017,Amapa,Abril,3.0
2023,Paraiba,Fevereiro,24.0
2016,Rio de Janeiro,Agosto,219.0
2021,Maranhão,Setembro,2.469
2013,Minas Gerais,Junho,191.0
2021,Tocantins,Outubro,1.213
2023,Paraiba,Maio,3.0
2018,Amapa,Agosto,38.0
2022,São Paulo,Outubro,62.0
2014,Rondonia,Setembro,2.806
2019,Rio de Janeiro,Outubro,70.0
2012,Pará,Março,16.0
2022,Mato Grosso do Sul,Junho,191.0
2012,Ceará,Outubro,1.102
2018,Distrito Federal,Julho,29.0
2021,Sergipe,Abril,8.0
2014,Ceará,Fevereiro,9.0
2013,Alagoas,Abril,20.0
2013,Amapa,Julho,1.0
2013,Sergipe,Novembro,6.0
2014,Mato Grosso do Sul,Janeiro,156.0
2018,Santa Catarina,Maio,77.0
2016,Espirito Santo,Outubro,60.0
2021,Rondonia,Fevereiro,16.0
2016,Maranhão,Agosto,3.849
2017,Piaui,Junho,142.0
2023,Rio Grande do Sul,Março,107.0
2020,Amazonas,Agosto,8030.0
2015,Pernambuco,Outubro,172.0
2022,Santa Catarina,Setembro,69.0
2022,Piaui,Junho,256.0
2014,Distrito Federal,Outubro,31.0
2022,Rio de Janeiro,Novembro,5.0
2021,Distrito Federal,Novembro,0.0
2014,Amazonas,Dezembro,289.0
2013,São Paulo,Fevereiro,100.0
2014,Alagoas,Janeiro,49.0
2013,Paraná,Agosto,701.0
2019,Santa Catarina,Agosto,939.0
2014,Roraima,Julho,9.0
2020,Amapa,Junho,3.0
2023,Sergipe,Outubro,19.0
2020,Mato Grosso,Agosto,10430.0
2020,Santa Catarina,Setembro,203.0
2015,Tocantins,Janeiro,196.0
2019,Sergipe,Agosto,0.0
2016,Maranhão,Janeiro,395.0
2019,Rio Grande do Norte,Agosto,52.0
2013,Acre,Janeiro,0.0
2016,Pernambuco,Abril,8.0
2015,Paraná,Agosto,640.0
2015,Goias,Agosto,876.0
2019,Amazonas,Junho,57.0
2016,Acre,Agosto,2.526
2020,Rio de Janeiro,Fevereiro,10.0
2019,Mato Grosso,Novembro,1.176
2023,Mato Grosso do Sul,Dezembro,503.0
2014,Rio de Janeiro,Maio,13.0
2020,Alagoas,Agosto,5.0
2015,Alagoas,Outubro,28.0
2014,Distrito Federal,Setembro,67.0
2021,Maranhão,Abril,96.0
2019,Paraiba,Junho,2.0
2013,Rio de Janeiro,Março,3.0
2020,Mato Grosso do Sul,Junho,508.0
2014,Rio de Janeiro,Outubro,473.0
2015,Acre,Maio,2.0
2018,Pernambuco,Fevereiro,7.0
2017,Distrito Federal,Dezembro,0.0
2020,Pernambuco,Abril,11.0
2016,Mato Grosso,Janeiro,300.0
2022,Espirito Santo,Junho,53.0
2016,Minas Gerais,Março,91.0
2014,Roraima,Abril,183.0
2022,Pará,Maio,225.0
2014,Sergipe,Julho,0.0
2018,São Paulo,Abril,85.0
2013,Rio Grande do Sul,Fevereiro,51.0
2012,Mato Grosso,Novembro,488.0
2015,Ceará,Maio,17.0
2017,Santa Catarina,Fevereiro,27.0
2015,Ceará,Novembro,1.009
2017,Piaui,Março,28.0
2020,Rio de Janeiro,Setembro,237.0
2015,Acre,Agosto,1.624
2013,Ceará,Março,24.0
2012,Pará,Junho,305.0
2019,Tocantins,Maio,690.0
2013,Paraiba,Junho,3.0
2016,Santa Catarina,Novembro,144.0
2017,Tocantins,Junho,906.0
2020,Minas Gerais,Abril,83.0
2017,Maranhão,Fevereiro,44.0
2022,Rondonia,Junho,106.0
2016,Alagoas,Outubro,63.0
2014,Amapa,Março,2.0
2018,Paraná,Julho,481.0
2015,Santa Catarina,Outubro,21.0
2020,Paraná,Setembro,702.0
2022,Distrito Federal,Março,6.0
2016,Bahia,Agosto,727.0
2022,Mato Grosso do Sul,Abril,100.0
2012,Paraná,Novembro,219.0
2014,Rio Grande do Sul,Março,52.0
2016,Paraiba,Abril,1.0
2022,Sergipe,Outubro,6.0
2023,Paraná,Janeiro,51.0
2012,Sergipe,Outubro,0.0
2021,Rio Grande do Sul,Fevereiro,49.0
2017,Ceará,Julho,15.0
2022,Maranhão,Março,44.0
2012,Pará,Abril,24.0
2022,Roraima,Março,81.0
2012,Minas Gerais,Novembro,258.0
2020,Maranhão,Outubro,3.394
2022,Maranhão,Setembro,4.166
2014,Paraiba,Setembro,49.0
2013,Amazonas,Junho,81.0
2020,Paraiba,Julho,5.0
2017,Goias,Junho,308.0
2022,Sergipe,Agosto,1.0
2018,Distrito Federal,Março,0.0
2022,Mato Grosso,Janeiro,556.0
2022,Amapa,Julho,5.0
2016,Roraima,Outubro,107.0
2016,Rio Grande do Norte,Dezembro,75.0
2023,Rio Grande do Norte,Fevereiro,19.0
2020,Distrito Federal,Fevereiro,2.0
2013,Rio Grande do Sul,Julho,196.0
2012,Rondonia,Março,20.0
2017,Piaui,Agosto,1.257
2016,Ceará,Março,6.0
2020,Roraima,Abril,165.0
2020,Alagoas,Novembro,10.0
2015,Santa Catarina,Setembro,160.0
2020,Pará,Março,63.0
2013,Mato Grosso,Novembro,906.0
2023,Espirito Santo,Julho,62.0
2018,Santa Catarina,Abril,150.0
2016,Paraná,Julho,552.0
2018,Rondonia,Dezembro,47.0
2022,Alagoas,Fevereiro,29.0
2013,Maranhão,Abril,83.0
2015,Maranhão,Setembro,5.502
2019,Pará,Maio,80.0
2020,Paraná,Janeiro,39.0
2012,Tocantins,Outubro,3.874
2016,Alagoas,Abril,14.0
2013,Amazonas,Fevereiro,4.0
2020,Paraná,Junho,238.0
2018,Distrito Federal,Novembro,0.0
2023,Goias,Junho,343.0
2020,Amazonas,Setembro,4270.0
2018,Bahia,Agosto,477.0
2015,Pará,Maio,84.0
2023,Rio de Janeiro,Janeiro,6.0
2021,Rio Grande do Norte,Maio,7.0
2020,Mato Grosso do Sul,Setembro,3.097
2018,Goias,Novembro,36.0
2017,Ceará,Junho,6.0
2013,Espirito Santo,Setembro,28.0
2014,Mato Grosso,Outubro,4.657
2013,Amazonas,Abril,26.0
2019,Mato Grosso,Dezembro,666.0
2023,Sergipe,Fevereiro,17.0
2019,Alagoas,Agosto,6.0
2014,Ceará,Novembro,761.0
2018,Alagoas,Março,13.0
2019,Distrito Federal,Junho,6.0
2013,Roraima,Novembro,125.0
2016,Pará,Junho,509.0
2018,Acre,Julho,381.0
2015,Santa Catarina,Dezembro,18.0
2014,Rondonia,Novembro,187.0
2022,Tocantins,Janeiro,57.0
2014,Goias,Março,54.0
2020,Espirito Santo,Outubro,82.0
2017,Paraiba,Outubro,102.0
2018,Amazonas,Setembro,4.928
2019,Amapa,Dezembro,67.0
2014,Minas Gerais,Julho,537.0
2016,Paraná,Junho,261.0
2020,Pernambuco,Setembro,128.0
2013,Rio Grande do Norte,Abril,8.0
2022,Rio de Janeiro,Julho,180.0
2019,Rio Grande do Sul,Agosto,1.647
2013,Roraima,Abril,113.0
2013,Maranhão,Outubro,3.221
2021,Sergipe,Julho,0.0
2023,Tocantins,Fevereiro,104.0
2023,Rio de Janeiro,Julho,97.0
2015,Rondonia,Março,10.0
2023,Minas Gerais,Setembro,1795.0
2021,Espirito Santo,Maio,47.0
2020,São Paulo,Dezembro,15.0
2013,Amapa,Novembro,613.0
2014,Rio Grande do Sul,Julho,206.0
2013,Paraiba,Dezembro,72.0
2013,Rio Grande do Norte,Agosto,3.0
2016,Rio de Janeiro,Dezembro,5.0
2022,São Paulo,Junho,90.0
2012,Rio de Janeiro,Março,12.0
2022,Espirito Santo,Novembro,5.0
2020,Roraima,Novembro,19.0
2017,Rio Grande do Norte,Abril,6.0
2018,Amapa,Março,0.0
2018,Pará,Maio,78.0
2012,Mato Grosso,Outubro,3.475
2021,Bahia,Março,530.0
2023,Acre,Janeiro,8.0
2017,Espirito Santo,Maio,9.0
2012,Distrito Federal,Setembro,67.0
2014,Goias,Outubro,1.728
2016,Sergipe,Maio,9.0
2014,Acre,Maio,1.0
2013,Espirito Santo,Agosto,58.0
2022,Amapa,Dezembro,6.0
2022,Paraná,Outubro,158.0
2013,Mato Grosso,Março,636.0
2018,Bahia,Abril,71.0
2020,São Paulo,Abril,252.0
2021,Paraná,Fevereiro,103.0
2014,Tocantins,Março,41.0
2020,São Paulo,Setembro,2.254
2023,Maranhão,Abril,155.0
2012,São Paulo,Novembro,74.0
2013,Piaui,Março,15.0
2014,Minas Gerais,Janeiro,130.0
2012,Pará,Dezembro,2950.0
2023,Amazonas,Maio,30.0
2021,Maranhão,Novembro,2.502
2015,Roraima,Novembro,298.0
2013,Maranhão,Março,45.0
2018,Paraiba,Abril,4.0
2015,Pará,Julho,882.0
2023,Mato Grosso do Sul,Julho,307.0
2015,Paraiba,Setembro,47.0
2023,Minas Gerais,Maio,274.0
2013,Tocantins,Novembro,320.0
2020,Pará,Abril,38.0
2015,Maranhão,Abril,103.0
2015,Bahia,Dezembro,1.202
2023,Santa Catarina,Outubro,21.0
2021,Paraiba,Setembro,105.0
2013,Alagoas,Dezembro,37.0
2017,Tocantins,Dezembro,81.0
2015,Roraima,Abril,307.0
2022,Santa Catarina,Maio,87.0
2015,Distrito Federal,Setembro,64.0
2016,Distrito Federal,Junho,37.0
2017,Sergipe,Julho,0.0
2023,Bahia,Novembro,1296.0
2017,Espirito Santo,Fevereiro,7.0
2020,Goias,Julho,402.0
2018,Paraiba,Janeiro,42.0
2019,Santa Catarina,Fevereiro,10.0
2021,Rondonia,Abril,16.0
2022,Paraiba,Maio,0.0
2022,Goias,Agosto,975.0
2015,São Paulo,Abril,70.0
2021,Piaui,Abril,60.0
2016,Espirito Santo,Novembro,7.0
2018,Rio Grande do Sul,Maio,108.0
2013,Roraima,Dezembro,164.0
2022,Sergipe,Novembro,1.0
2021,Alagoas,Setembro,8.0
2013,Mato Grosso,Fevereiro,374.0
2012,Alagoas,Dezembro,55.0
2023,Paraná,Setembro,166.0
2015,Distrito Federal,Outubro,17.0
2017,Amapa,Maio,2.0
2016,Rio de Janeiro,Novembro,17.0
2013,Santa Catarina,Maio,98.0
2020,Pernambuco,Janeiro,105.0
2015,Distrito Federal,Julho,15.0
2015,Ceará,Abril,0.0
2019,Mato Grosso do Sul,Novembro,1.243
2012,Goias,Novembro,64.0
2019,Pernambuco,Junho,5.0
2019,Sergipe,Janeiro,31.0
2016,Maranhão,Junho,693.0
2017,Espirito Santo,Janeiro,14.0
2016,São Paulo,Setembro,506.0
2015,Espirito Santo,Dezembro,57.0
2020,Acre,Dezembro,11.0
2012,Alagoas,Maio,23.0
2016,Alagoas,Junho,5.0
2020,Rondonia,Fevereiro,39.0
2015,Rio Grande do Norte,Dezembro,78.0
2020,Ceará,Janeiro,94.0
2019,Alagoas,Fevereiro,9.0
2015,Pará,Fevereiro,92.0
2015,Minas Gerais,Abril,85.0
2012,Alagoas,Janeiro,43.0
2012,Goias,Março,71.0
2020,Sergipe,Julho,0.0
2015,Paraná,Maio,74.0
2013,Roraima,Julho,4.0
2015,Goias,Janeiro,105.0
2017,Distrito Federal,Setembro,77.0
2019,Piaui,Maio,67.0
2021,Paraná,Junho,106.0
2021,Tocantins,Julho,1.794
2023,Pernambuco,Novembro,380.0
2013,Bahia,Março,441.0
2015,Rondonia,Abril,12.0
2014,Acre,Setembro,2.528
2014,Rondonia,Março,11.0
2022,Paraná,Dezembro,57.0
2013,Acre,Junho,19.0
2013,Sergipe,Setembro,1.0
2013,Goias,Fevereiro,67.0
2019,Tocantins,Janeiro,84.0
2017,Amazonas,Outubro,1190.0
2013,Amapa,Outubro,560.0
2020,Minas Gerais,Fevereiro,114.0
2015,Rio Grande do Sul,Outubro,63.0
2020,Rio de Janeiro,Julho,130.0
2018,Sergipe,Junho,2.0
2014,Amazonas,Agosto,3.604
2019,Bahia,Novembro,924.0
2014,Ceará,Janeiro,119.0
2016,Amazonas,Junho,84.0
2020,Rondonia,Outubro,2.413
2012,Maranhão,Março,54.0
2014,Rio Grande do Sul,Setembro,212.0
2012,Pernambuco,Março,68.0
2017,Roraima,Agosto,33.0
2018,Ceará,Setembro,429.0
2015,Bahia,Junho,233.0
2014,Pará,Abril,23.0
2019,Amazonas,Julho,1.371
2014,Mato Grosso do Sul,Julho,190.0
2020,Rio Grande do Sul,Janeiro,32.0
2019,Santa Catarina,Abril,12.0
2023,Santa Catarina,Junho,149.0
2018,Distrito Federal,Junho,1.0
2015,Distrito Federal,Maio,2.0
2017,Tocantins,Fevereiro,24.0
2019,Roraima,Março,2.433
2018,Paraiba,Março,3.0
2012,Tocantins,Janeiro,14.0
2017,Mato Grosso,Setembro,14840.0
2012,Rondonia,Novembro,271.0
2013,Espirito Santo,Maio,13.0
2019,Alagoas,Abril,5.0
2021,Paraiba,Outubro,250.0
2014,Amapa,Outubro,592.0
2012,Ceará,Novembro,1.165
2015,Amazonas,Junho,34.0
2017,Tocantins,Novembro,496.0
2016,Espirito Santo,Abril,49.0
2016,Minas Gerais,Novembro,113.0
2023,Amazonas,Março,28.0
2015,Goias,Fevereiro,43.0
2019,Rio Grande do Sul,Abril,54.0
2021,Santa Catarina,Julho,481.0
2019,Paraná,Fevereiro,24.0
2016,Rondonia,Outubro,2.041
2013,Rio Grande do Norte,Março,7.0
2022,São Paulo,Julho,345.0
2021,São Paulo,Julho,808.0
2022,Amazonas,Abril,15.0
2012,Rio de Janeiro,Dezembro,8.0
2014,Rio Grande do Norte,Novembro,109.0
2019,Mato Grosso,Julho,2.326
2023,Roraima,Setembro,194.0
2015,Mato Grosso,Fevereiro,396.0
2013,Amapa,Setembro,126.0
2013,Goias,Julho,356.0
2016,Pará,Maio,148.0
2023,Amazonas,Junho,213.0
2012,Goias,Abril,116.0
2017,Piaui,Abril,23.0
2013,Roraima,Maio,6.0
2012,Acre,Maio,15.0
2019,Sergipe,Maio,4.0
2018,Rio Grande do Sul,Junho,62.0
2020,Mato Grosso,Maio,951.0
2013,Bahia,Agosto,602.0
2014,Pernambuco,Outubro,172.0
2023,Piaui,Maio,111.0
2012,São Paulo,Abril,121.0
2017,Pernambuco,Julho,1.0
2017,Paraná,Dezembro,98.0
2018,Espirito Santo,Fevereiro,1.0
2014,Maranhão,Janeiro,291.0
2019,Rio Grande do Sul,Setembro,523.0
2023,Distrito Federal,Setembro,18.0
2014,Rio de Janeiro,Novembro,31.0
2013,Ceará,Dezembro,910.0
2020,Maranhão,Janeiro,86.0
2016,Rio Grande do Sul,Abril,26.0
2014,Paraná,Novembro,59.0
2017,Acre,Janeiro,0.0
2019,Santa Catarina,Novembro,63.0
2013,Rio de Janeiro,Junho,21.0
2021,Rio Grande do Norte,Fevereiro,39.0
2014,São Paulo,Abril,93.0
2013,Ceará,Fevereiro,55.0
